City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,fale old settlement,-9.3852,-171.2468,28.63,76,94,6.28,TK,1709010610
313,al mansurah,31.0364,31.3807,10.46,87,0,3.01,EG,1709010611
314,dudinka,69.4058,86.1778,-9.1,94,100,9.83,RU,1709010611
315,kayangel,8.0823,134.7173,26.78,86,100,10.25,PW,1709010611
316,monrovia,6.3005,-10.7969,26.2,90,34,0.84,LR,1709010612
317,nelson bay,-32.7167,152.15,24.44,82,95,6.26,AU,1709010612
318,kibondo,-3.5864,30.7203,16.08,94,100,0.71,TZ,1709010563
319,hasaki,35.7333,140.8333,12.22,39,22,13.16,JP,1709010615
320,sanluri,39.5611,8.8994,13.05,95,100,2.63,IT,1709010616
321,brookings,44.3114,-96.7984,10.06,74,0,1.54,US,1709010431
322,glace bay,46.1969,-59.957,-0.01,92,100,3.6,CA,1709010616
323,caleta de carquin,-11.0925,-77.6267,23.76,85,87,4.72,PE,1709010617
324,bojia,26.4672,111.9681,6.51,64,96,2.17,CN,1709010617
325,la sarre,48.8002,-79.1996,-5.57,94,100,4.02,CA,1709010618
326,port alfred,-33.5906,26.891,18.58,55,87,1.79,ZA,1709010618
327,shakawe,-18.3667,21.85,20.18,90,96,0.57,BW,1709010618
328,turpan,42.9333,89.1667,4.46,28,1,1.14,CN,1709010619
329,el calafate,-50.3408,-72.2768,13.16,72,100,0.41,AR,1709010594
330,santa croce camerina,36.8289,14.5268,14.82,82,100,2.57,IT,1709010620
331,vilyuysk,63.7553,121.6247,-21.67,92,74,1.79,RU,1709010621
332,kanker,20.2719,81.4931,30.64,43,45,0.87,IN,1709010621
333,zdvinsk,54.7021,78.661,-14.24,94,100,2.94,RU,1709010622
334,karratha,-20.7377,116.8463,39.42,32,33,6.61,AU,1709010622
335,yazykovo,55.2199,56.1353,-15.58,84,95,2.44,RU,1709010623
336,juneau,58.3019,-134.4197,-7.0,75,40,5.14,US,1709010623
337,port macquarie,-31.4333,152.9167,28.27,60,37,4.01,AU,1709010246
338,vadso,70.0744,29.7487,-1.91,74,0,4.12,NO,1709010624
339,vila franca do campo,37.7167,-25.4333,13.23,83,4,3.64,PT,1709010624
340,soure,-0.7167,-48.5233,24.02,93,85,2.19,BR,1709010625
341,vila velha,-20.3297,-40.2925,22.97,97,20,1.54,BR,1709010625
342,tanjungagung,-3.9333,103.8,31.48,61,82,2.72,ID,1709010626
343,mahajanga,-15.7167,46.3167,28.47,75,94,1.5,MG,1709010626
